#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-05-25 15:52::11.448

Time (s),Channel 1 (V)
-4.0751686746987954e-05,-0.064093508370274554
-4.0741686746987953e-05,-0.057359035675375314
-4.0731686746987951e-05,-0.057359035675375314
-4.0721686746987956e-05,-0.057359035675375314
-4.0711686746987955e-05,-0.047257326633026175
-4.0701686746987953e-05,-0.070827981065173934
-4.0691686746987952e-05,-0.067460744717724314
-4.0681686746987957e-05,-0.060726272022827994
-4.0671686746987955e-05,-0.043890090285576555
-4.0661686746987954e-05,-0.074195217412623693
-4.0651686746987952e-05,-0.050624562980475935
-4.064168674698795e-05,-0.067460744717712059
-4.0631686746987956e-05,-0.040522853938126935
-4.0621686746987954e-05,-0.064093508370274554
-4.0611686746987952e-05,-0.043890090285576555
-4.0601686746987951e-05,-0.053991799327924021
-4.0591686746987956e-05,-0.050624562980477468
-4.0581686746987954e-05,-0.050624562980475935
-4.0571686746987953e-05,-0.057359035675375314
-4.0561686746987951e-05,-0.057359035675372254
-4.0551686746987956e-05,-0.050624562980478995
-4.0541686746987955e-05,-0.047257326633026175
-4.0531686746987953e-05,-0.043890090285576555
-4.0521686746987952e-05,-0.053991799327925555
-4.0511686746987957e-05,-0.053991799327925555
-4.0501686746987955e-05,-0.057359035675375314
-4.0491686746987954e-05,-0.047257326633026175
-4.0481686746987952e-05,-0.050624562980475935
-4.047168674698795e-05,-0.050624562980474401
-4.0461686746987956e-05,-0.047257326633026175
-4.0451686746987954e-05,-0.037155617590677176
-4.0441686746987952e-05,-0.047257326633026175
-4.0431686746987951e-05,-0.037155617590683303
-4.0421686746987956e-05,-0.050624562980469807
-4.0411686746987954e-05,-0.027053908548328176
-4.0401686746987953e-05,-0.047257326633026175
-4.0391686746987951e-05,-0.040522853938126935
-4.0381686746987956e-05,-0.040522853938126935
-4.0371686746987955e-05,-0.040522853938126935
-4.0361686746987953e-05,-0.037155617590677176
-4.0351686746987952e-05,-0.047257326633026175
-4.0341686746987957e-05,-0.050624562980474401
-4.0331686746987955e-05,-0.050624562980475935
-4.0321686746987954e-05,-0.037155617590677176
-4.0311686746987952e-05,-0.064093508370274554
-4.030168674698795e-05,-0.040522853938126935
-4.0291686746987955e-05,-0.040522853938126935
-4.0281686746987954e-05,-0.053991799327925555
