#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-05-23 11:46::50.775

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
20.000000000000021,0.1602709209979816,-14.838537954779859,-167.18758672288598
20.013821666009239,0.16133701831719205,-14.842254829699073,-167.16111377836924
20.02765288394102,0.15958286640990277,-14.852406888193562,-167.2593534103919
20.04149366039654,0.16165581347190072,-14.84449628988294,-167.23561340895526
20.055344001981531,0.16048878603940001,-14.824054225096248,-167.29878662424952
20.0692039153063,0.16083883447317349,-14.841501400811719,-167.31637495968525
20.083073406985712,0.16056643032581858,-14.836714123087981,-167.39354438416385
20.09695248363921,0.16134714264737046,-14.834132917576895,-167.29553297044066
20.11084115189081,0.16303402435016265,-14.835790402804037,-167.31857294452604
20.124739418369124,0.16303319857884788,-14.844235008718439,-167.30672584442965
20.138647289707265,0.16402354709471839,-14.82906017985397,-167.38289033627873
20.152564772543055,0.16095859616426955,-14.823917923368002,-167.41458410980354
20.166491873518837,0.16143115738279226,-14.819539928508622,-167.34476623621146
20.180428599281505,0.16242516199859713,-14.819503014917226,-167.5154915371966
20.194374956482591,0.1590571127332413,-14.824726154503807,-167.44408587465392
20.208330951778283,0.16022706009031168,-14.839129487533482,-167.42686260703312
20.222296591829245,0.16021981905040988,-14.821327858510147,-167.45572310738541
20.236271883300827,0.15802148874316019,-14.824449649645564,-167.42152783018932
20.250256832862963,0.16111236565651688,-14.822926338237796,-167.47888461455213
20.264251447190198,0.16143648655288192,-14.825236161316635,-167.47369048998945
20.278255732961693,0.15924642110818149,-14.818146906339297,-167.48559720523116
20.292269696861215,0.16041349033399821,-14.81947201090618,-167.60229495590494
20.306293345577167,0.16405091883037762,-14.829891650666733,-167.60397063852616
20.320326685802556,0.16323913784865904,-14.802557514564068,-167.61291415088064
20.334369724235025,0.1627425443132558,-14.821952512365117,-167.75377808972115
20.34842246757686,0.15880378615051785,-14.809730059145458,-167.7201342061513
20.362484922534907,0.16177016678079223,-14.808382375452249,-167.61648376972963
20.376557095820758,0.15976852140861295,-14.830198920233579,-167.68060432991652
20.390638994150589,0.16212110545528016,-14.810367099361654,-167.70070812708207
20.404730624245172,0.15947184521772539,-14.812227011744772,-167.84714899672656
20.418831992829968,0.16167846343645212,-14.811306016690908,-167.67447499113669
20.43294310663515,0.15984506897301354,-14.815181451666511,-167.72075406913152
20.447063972395416,0.16232395186973525,-14.814872306276957,-167.88174568963555
20.461194596850191,0.16074980379628803,-14.805221272828126,-167.8380077157972
20.475334986743555,0.16118972697283709,-14.818969478886935,-167.82343445083143
20.489485148824237,0.15989909007146849,-14.804168141876247,-167.83347194554005
20.50364508984563,0.16024365065046409,-14.796499486340227,-167.89744081341578
20.517814816565799,0.16150898648564571,-14.810403319312737,-167.91837799452767
20.531994335747481,0.1628514272000989,-14.830179679650087,-167.86717402162131
20.546183654158071,0.16297149698554417,-14.810676178930986,-167.88865370448767
20.560382778569661,0.16341153641035411,-14.818065504857703,-168.00770537364292
20.574591715759038,0.16014898238694569,-14.803106108967288,-167.98366326070814
20.588810472507578,0.16024535594093198,-14.805039567112726,-167.95585929429257
20.603039055601485,0.16512190708738683,-14.810185849160538,-167.94625487203589
20.617277471831574,0.16134055370446859,-14.810993596845138,-167.99970718248582
20.631525727993328,0.16074516644096051,-14.811540495367787,-167.9817290971404
20.645783830886948,0.16230287931789444,-14.811316509444644,-168.07278903640378
20.660051787317421,0.16033353462985334,-14.793250203430695,-168.07845215015084
20.674329604094297,0.16081759738072982,-14.810722776729319,-168.09969292162873
20.68861728803191,0.16000828204533707,-14.793160892181014,-168.07867033478655
20.702914845949294,0.15980917054526575,-14.800616231087329,-168.03052511656642
20.717222284670193,0.16114131271651921,-14.811511686163685,-168.07646157631194
20.731539611023067,0.16041532230972338,-14.802189739620385,-168.04496118786579
20.745866831841088,0.16409159173106605,-14.804526538344016,-168.19233492642795
20.760203953962158,0.16305886424405153,-14.793620552876536,-168.25207283032015
20.774550984228906,0.16394358327471553,-14.789921682098013,-168.20551571419387
20.78890792948868,0.15989969445890256,-14.78776012558891,-168.34623720180434
20.803274796593591,0.16122891069178122,-14.80707091792109,-168.37417126488984
20.817651592400392,0.16174369730017621,-14.796385209656627,-168.23183974000122
20.832038323770714,0.161676387891527,-14.804295021215335,-168.26979020941559
20.846434997570853,0.16238976403564798,-14.791399514330255,-168.26613621912335
20.86084162067182,0.16147560430508776,-14.80285838585251,-168.32483885287181
