#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-02-17 09:53::46.091

Frequency (Hz),Trace 1 (dBu)
0,-46.970192681000398
4.88525390625,-95.961412703962566
9.7705078125,-88.72719825066585
14.65576171875,-99.131044096018314
19.541015625,-99.566176757769668
24.42626953125,-92.976438648483423
29.3115234375,-98.494224100528172
34.19677734375,-92.718054950598074
39.08203125,-101.99570664941336
43.96728515625,-95.716586806354144
48.8525390625,-80.718592095765899
53.73779296875,-98.961715250214013
58.623046875,-96.400742684673048
63.50830078125,-90.620717397817018
68.3935546875,-89.207352933907089
73.27880859375,-91.493364812246199
78.1640625,-81.548604284043392
83.04931640625,-77.424458637308362
87.9345703125,-85.956306112331561
92.81982421875,-90.948726293551175
97.705078125,-86.170122818864087
102.59033203125,-88.811193743105093
107.4755859375,-98.38331794471793
112.36083984375,-87.791841029916583
117.24609375,-100.57369531443696
122.13134765625,-106.93547415998114
127.0166015625,-89.978085316007139
131.90185546875,-91.427786100996627
136.787109375,-92.760757773972614
141.67236328125,-85.87377496228342
146.5576171875,-86.142034841343616
151.44287109375,-84.502170880494916
156.328125,-100.3232817704326
161.21337890625,-82.892583796181469
166.0986328125,-85.138181035670925
170.98388671875,-97.432836701043755
175.869140625,-98.191277031810117
180.75439453125,-90.855327842740721
185.6396484375,-100.17268592326309
190.52490234375,-84.686217080126568
195.41015625,-97.640229411749374
200.29541015625,-97.102997158437631
205.1806640625,-97.794000370445247
210.06591796875,-90.927499978454676
214.951171875,-97.914381596902658
219.83642578125,-83.311917882383
224.7216796875,-82.600303098806734
229.60693359375,-89.579221340949729
234.4921875,-82.184946300893643
239.37744140625,-84.135086930943359
244.2626953125,-71.865057728738762
249.14794921875,-88.291582030861747
254.033203125,-95.662510113837868
258.91845703125,-99.633140668468144
263.8037109375,-90.850921778148589
268.68896484375,-95.352805743448215
273.57421875,-94.7388936331525
278.45947265625,-97.606695370879365
283.3447265625,-91.52389845123389
288.22998046875,-88.189267386706234
293.115234375,-90.907583438340424
298.00048828125,-90.571353270749327
302.8857421875,-93.25287542503402
307.77099609375,-87.348287618681297
312.65625,-83.936966675345616
317.54150390625,-81.386737562076092
322.4267578125,-74.217412167342488
327.31201171875,-74.918939358457578
332.197265625,-81.419117210054509
337.08251953125,-82.705590287500712
341.9677734375,-87.018546457142989
346.85302734375,-88.600163233157346
351.73828125,-91.545486101013125
356.62353515625,-88.715269637439377
361.5087890625,-107.99028671170072
366.39404296875,-87.350807633414135
371.279296875,-93.131368166595621
376.16455078125,-88.644545583746094
381.0498046875,-90.206351481510922
385.93505859375,-89.942685169652407
390.8203125,-93.851865878449757
395.70556640625,-92.267736781602991
400.5908203125,-91.593280793652937
405.47607421875,-80.106330741831215
410.361328125,-84.863163721720895
415.24658203125,-86.238580579314274
420.1318359375,-93.71858814990108
425.01708984375,-96.508163306545981
429.90234375,-98.800548636954346
434.78759765625,-93.704916488748879
439.6728515625,-90.806377215339737
444.55810546875,-91.3467085157817
449.443359375,-78.958664472022647
454.32861328125,-94.752588111340486
459.2138671875,-90.843545228297131
464.09912109375,-91.375223963157296
468.984375,-90.806517891747177
473.86962890625,-88.635259845549101
478.7548828125,-96.938243482147186
483.64013671875,-89.73774139803028
488.525390625,-90.310583046896681
493.41064453125,-89.203576500714391
498.2958984375,-93.138292757269383
503.18115234375,-83.687759176507939
508.06640625,-90.488522683725279
512.95166015625,-86.999914910337282
517.8369140625,-108.66820240531389
522.72216796875,-85.286790070591735
527.607421875,-90.454343096803342
532.49267578125,-95.978764003773989
537.3779296875,-88.400980624510595
542.26318359375,-91.082073941017612
547.1484375,-98.684713476420853
552.03369140625,-88.195910892275364
556.9189453125,-108.20327667187397
561.80419921875,-97.401457845579941
566.689453125,-89.618566609138156
571.57470703125,-90.719452530005015
576.4599609375,-89.716888792413542
581.34521484375,-85.161169055669518
586.23046875,-91.509503906258232
591.11572265625,-94.93875235871981
596.0009765625,-92.296580986012117
600.88623046875,-90.421959697386299
605.771484375,-94.590159247399839
610.65673828125,-94.428297984073538
615.5419921875,-89.447786935384414
620.42724609375,-89.27804515396673
625.3125,-96.083990167065821
630.19775390625,-92.652514667775591
635.0830078125,-86.572653978483913
639.96826171875,-100.58677880003218
644.853515625,-94.949901929465014
649.73876953125,-95.906090448219402
654.6240234375,-80.233850304262091
659.50927734375,-86.494881936022409
664.39453125,-88.454826060753064
669.27978515625,-92.154845812509365
674.1650390625,-92.583476357781848
679.05029296875,-95.843347813505261
683.935546875,-91.416489629762737
688.82080078125,-94.661217187137453
693.7060546875,-90.078754779203919
698.59130859375,-96.097580098006731
703.4765625,-97.743125504137524
708.36181640625,-93.204174460473354
713.2470703125,-90.942164450020869
718.13232421875,-90.994387177066443
723.017578125,-96.975883571945729
727.90283203125,-96.293642482284255
732.7880859375,-91.979449575816858
737.67333984375,-86.516455592017365
742.55859375,-87.827881115669584
747.44384765625,-88.122642762430047
752.3291015625,-98.481791936022191
757.21435546875,-85.693202467535855
762.099609375,-94.064834094076446
766.98486328125,-83.128523119115329
771.8701171875,-98.575125152662281
776.75537109375,-91.011971227287546
781.640625,-87.870384333789886
786.52587890625,-91.390726969899205
791.4111328125,-93.249678333615748
796.29638671875,-89.29951046220117
801.181640625,-87.917766674771286
806.06689453125,-87.938289087111642
810.9521484375,-90.979173933887893
815.83740234375,-87.479782097112263
820.72265625,-87.63540704968014
825.60791015625,-95.064959929368982
830.4931640625,-92.619230063781615
835.37841796875,-90.53744237844532
