#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E2E1
#Date Time: 2017-05-17 15:16::15.905

Time (s),Channel 1 (V)
-0.0051603300000000003,-0.26077576187086926
-0.0051597000000000006,-0.26410263819157292
-0.0051590700000000008,-0.26410263819157292
-0.0051584400000000002,-0.25744888555016554
-0.0051578100000000005,-0.25744888555016554
-0.0051571800000000008,-0.25744888555016554
-0.0051565500000000002,-0.26077576187086321
-0.0051559200000000005,-0.25412200922946182
-0.0051552900000000007,-0.2507951329087581
-0.0051546600000000001,-0.25412200922946182
-0.0051540300000000004,-0.25412200922946182
-0.0051534000000000007,-0.2507951329087581
-0.005152770000000001,-0.24746825658805743
-0.0051521400000000004,-0.24746825658805441
-0.0051515100000000006,-0.24746825658805441
-0.0051508800000000009,-0.24081450394665302
-0.0051502500000000003,-0.23748762762594328
-0.0051496200000000006,-0.23416075130523958
-0.0051489900000000009,-0.23748762762594025
-0.0051483600000000003,-0.23083387498453589
-0.0051477300000000005,-0.22750699866383214
-0.0051471000000000008,-0.23083387498453589
-0.0051464700000000002,-0.23083387498452984
-0.0051458400000000005,-0.22418012234312845
-0.0051452100000000008,-0.21752636970172101
-0.0051445800000000002,-0.22085324602242776
-0.0051439500000000004,-0.22418012234312845
-0.0051433200000000007,-0.21752636970172101
-0.0051426900000000001,-0.21087261706031665
-0.0051420600000000004,-0.21419949338101732
-0.0051414300000000007,-0.21087261706031363
-0.0051408000000000009,-0.20754574073961293
-0.0051401700000000003,-0.20421886441890622
-0.0051395400000000006,-0.20754574073960991
-0.0051389100000000009,-0.20421886441890924
-0.0051382800000000003,-0.20089198809820247
-0.0051376500000000005,-0.19423823545679508
-0.0051370200000000008,-0.19423823545679508
-0.0051363900000000002,-0.19756511177749875
-0.0051357600000000005,-0.19756511177749875
-0.0051351300000000008,-0.19423823545679508
-0.0051345000000000002,-0.19091135913609741
-0.0051338700000000004,-0.19756511177749875
-0.0051332400000000007,-0.19423823545679508
-0.0051326100000000001,-0.18758448281538459
-0.0051319800000000004,-0.18425760649468395
-0.0051313500000000007,-0.18425760649468395
-0.0051307200000000009,-0.18425760649468395
-0.0051300900000000003,-0.17760385385327654
-0.0051294600000000006,-0.17760385385327654
-0.0051288300000000009,-0.18093073017397726
-0.0051282000000000003,-0.18093073017398029
-0.0051275700000000006,-0.17427697753257282
-0.0051269400000000008,-0.16429634857047076
-0.0051263100000000002,-0.17095010121186915
-0.0051256800000000005,-0.17095010121186915
-0.0051250500000000008,-0.16762322489116543
-0.0051244200000000002,-0.160969472249755
-0.0051237900000000005,-0.15764259592905427
-0.0051231600000000007,-0.16096947224975802
-0.0051225300000000001,-0.16096947224975197
-0.0051219000000000004,-0.15431571960835055
-0.0051212700000000007,-0.15098884328764689
-0.005120640000000001,-0.15431571960834753
-0.0051200100000000004,-0.15098884328764689
-0.0051193800000000006,-0.14433509064623942
-0.0051187500000000009,-0.14433509064623942
-0.0051181200000000003,-0.14100821432553576
-0.0051174900000000006,-0.14100821432553576
-0.0051168600000000009,-0.13435446168413434
-0.0051162300000000003,-0.13435446168412829
-0.0051156000000000005,-0.14100821432553576
-0.0051149700000000008,-0.14100821432553576
-0.0051143400000000002,-0.13768133800483201
-0.0051137100000000005,-0.13768133800483201
-0.0051130800000000007,-0.13768133800483201
-0.0051124500000000002,-0.13435446168412526
-0.0051118200000000004,-0.13102758536342463
-0.0051111900000000007,-0.11772008008060983
-0.0051105600000000001,-0.12437383272201723
-0.0051099300000000004,-0.12437383272201723
-0.0051093000000000006,-0.1143932037599061
-0.0051086700000000009,-0.1143932037599061
-0.0051080400000000003,-0.1143932037599061
-0.0051074100000000006,-0.1143932037599061
-0.0051067800000000009,-0.1143932037599061
-0.0051061500000000003,-0.1077394511184987
-0.0051055200000000005,-0.11106632743920236
-0.0051048900000000008,-0.1077394511184987
-0.0051042600000000002,-0.10441257479778891
-0.0051036300000000005,-0.097758822156387565
-0.0051030000000000008,-0.10108569847709123
-0.0051023700000000002,-0.1010856984770882
-0.0051017400000000004,-0.097758822156387565
-0.0051011100000000007,-0.094431945835683831
-0.0051004800000000001,-0.091105069514983122
-0.0050998500000000004,-0.094431945835683831
-0.0050992200000000007,-0.087778193194276433
-0.0050985900000000009,-0.084451316873575724
-0.0050979600000000003,-0.081124440552868965
-0.0050973300000000006,-0.084451316873572699
-0.0050967000000000009,-0.087778193194273407
-0.0050960700000000003,-0.0777975642321653
-0.0050954400000000006,-0.0777975642321653
-0.0050948100000000008,-0.0777975642321653
-0.0050941800000000002,-0.074470687911458541
-0.0050935500000000005,-0.071143811590757902
-0.0050929200000000008,-0.071143811590757902
-0.0050922900000000002,-0.074470687911458541
-0.0050916600000000005,-0.071143811590757902
-0.0050910300000000007,-0.064490058949350504
-0.0050904000000000001,-0.057836306307943036
-0.0050897700000000004,-0.057836306307943036
-0.0050891400000000007,-0.06116318262864677
-0.0050885100000000009,-0.057836306307946062
-0.0050878800000000004,-0.051182553666535638
-0.0050872500000000006,-0.057836306307943036
-0.0050866200000000009,-0.057836306307943036
-0.0050859900000000003,-0.047855677345831904
-0.0050853600000000006,-0.04452880102512824
-0.0050847300000000008,-0.041201924704427531
-0.0050841000000000003,-0.04452880102512824
-0.0050834700000000005,-0.041201924704424506
-0.0050828400000000008,-0.037875048383720772
-0.0050822100000000002,-0.041201924704424506
-0.0050815800000000005,-0.041201924704424506
-0.0050809500000000007,-0.034548172063017107
-0.0050803200000000001,-0.031221295742316399
-0.0050796900000000004,-0.034548172063017107
-0.0050790600000000007,-0.037875048383720772
-0.005078430000000001,-0.034548172063020133
-0.0050778000000000004,-0.024567543100905975
-0.0050771700000000006,-0.021240666780202241
-0.0050765400000000009,-0.02456754310090295
-0.0050759100000000003,-0.021240666780202241
-0.0050752800000000006,-0.014586914138794843
-0.0050746500000000009,-0.017913790459495552
-0.0050740200000000003,-0.014586914138794843
-0.0050733900000000005,-0.017913790459498577
-0.0050727600000000008,-0.011260037818091179
-0.0050721300000000002,-0.0079331614973904702
-0.0050715000000000005,-0.011260037818091179
-0.0050708700000000008,-0.0012794088559800465
-0.0050702400000000002,0.0053743437854304466
-0.0050696100000000004,0.0087012201061310857
-0.0050689800000000007,0.0020474674647236873
-0.0050683500000000001,0.0053743437854334728
-0.0050677200000000004,0.012028096426834819
-0.0050670900000000007,0.015354972747538553
-0.0050664600000000009,0.012028096426837845
-0.0050658300000000003,0.0087012201061310857
-0.0050652000000000006,0.015354972747538553
-0.0050645700000000009,0.018681849068239192
-0.0050639400000000003,0.015354972747538553
-0.0050633100000000006,0.018681849068242218
-0.0050626800000000008,0.022008725388942926
-0.0050620500000000002,0.025335601709649616
-0.0050614200000000005,0.025335601709649616
-0.0050607900000000008,0.025335601709649616
-0.0050601600000000002,0.028662478030356375
-0.0050595300000000005,0.031989354351057084
-0.0050589000000000007,0.02866247803035335
-0.0050582700000000001,0.031989354351060109
-0.0050576400000000004,0.035316230671760748
-0.0050570100000000007,0.038643106992464482
-0.0050563800000000009,0.04529685963386583
-0.0050557500000000003,0.038643106992464482
-0.0050551200000000006,0.041969983313168147
-0.0050544900000000009,0.048623735954569564
-0.0050538600000000003,0.048623735954575614
-0.0050532300000000006,0.048623735954575614
-0.0050526000000000008,0.048623735954575614
-0.0050519700000000002,0.055277488595983013
-0.0050513400000000005,0.058604364916686746
-0.0050507100000000008,0.058604364916686746
-0.0050500800000000002,0.061931241237393436
-0.0050494500000000005,0.065258117558094145
-0.0050488200000000007,0.065258117558094145
-0.0050481900000000001,0.061931241237393436
-0.0050475600000000004,0.065258117558094145
-0.0050469300000000007,0.065258117558094145
-0.005046300000000001,0.071911870199495492
-0.0050456700000000004,0.071911870199501543
-0.0050450400000000006,0.078565622840908941
-0.0050444100000000009,0.078565622840908941
-0.0050437800000000003,0.081892499161612675
-0.0050431500000000006,0.078565622840908941
-0.0050425200000000009,0.078565622840908941
-0.0050418900000000003,0.08521937548231634
-0.0050412600000000005,0.08521937548231634
-0.0050406300000000008,0.08521937548231634
-0.0050400000000000002,0.088546251803020073
-0.0050393700000000005,0.088546251803020073
-0.0050387400000000008,0.088546251803020073
-0.0050381100000000002,0.091873128123723807
-0.0050374800000000004,0.091873128123723807
-0.0050368500000000007,0.091873128123723807
-0.0050362200000000001,0.098526880765137256
-0.0050355900000000004,0.1051806334065386
-0.0050349600000000007,0.10185375708583494
-0.0050343300000000009,0.10518063340653558
-0.0050337000000000003,0.1051806334065386
-0.0050330700000000006,0.10850750972724234
-0.0050324400000000009,0.10850750972724234
-0.0050318100000000003,0.11183438604794607
-0.0050311800000000005,0.11516126236864974
-0.0050305500000000008,0.11516126236864974
-0.0050299200000000002,0.11848813868935051
-0.0050292900000000005,0.11516126236864974
-0.0050286600000000008,0.1218150150100572
-0.0050280300000000002,0.12846876765146151
-0.0050274000000000004,0.12514189133076087
-0.0050267700000000007,0.12514189133076087
-0.0050261400000000001,0.13179564397217439
-0.0050255100000000004,0.13844939661357566
-0.0050248800000000007,0.13179564397216834
-0.0050242500000000009,0.12846876765146756
-0.0050236200000000003,0.13844939661357566
-0.0050229900000000006,0.14177627293427947
-0.0050223600000000009,0.13844939661357869
-0.0050217300000000003,0.13844939661357566
-0.0050211000000000006,0.14177627293427947
-0.0050204700000000008,0.14510314925498011
-0.0050198400000000002,0.14177627293427947
-0.0050192100000000005,0.14177627293427947
-0.0050185800000000008,0.1484300255756868
-0.0050179500000000002,0.15841065453779793
-0.0050173200000000005,0.15841065453779793
-0.0050166900000000007,0.1484300255756868
-0.0050160600000000001,0.15175690189639954
-0.0050154300000000004,0.16173753085850173
-0.0050148000000000007,0.16173753085850173
-0.005014170000000001,0.16506440717920237
-0.0050135400000000004,0.16839128349990906
-0.0050129100000000006,0.16839128349990906
-0.0050122800000000009,0.1717181598206097
-0.0050116500000000003,0.16839128349990906
-0.0050110200000000006,0.16839128349990906
-0.0050103900000000008,0.17504503614131048
-0.0050097600000000003,0.181698788782724
-0.0050091300000000005,0.17837191246202019
-0.0050085000000000008,0.17504503614131653
-0.0050078700000000002,0.18169878878272702
-0.0050072400000000005,0.18502566510342766
-0.0050066100000000007,0.181698788782724
-0.0050059800000000002,0.18502566510343069
-0.0050053500000000004,0.18835254142413133
-0.0050047200000000007,0.19500629406553865
-0.0050040900000000001,0.19167941774483196
-0.0050034600000000004,0.18835254142413133
-0.0050028300000000006,0.19500629406553865
-0.0050022000000000009,0.19833317038623943
-0.0050015700000000003,0.19833317038624246
-0.0050009400000000006,0.19167941774483499
-0.0050003100000000009,0.20166004670693705
-0.0049996800000000003,0.21164067566905725
-0.0049990500000000005,0.20831379934835359
-0.0049984200000000008,0.20498692302764993
-0.0049977900000000002,0.21164067566906331
-0.0049971600000000005,0.21829442831046472
-0.0049965300000000008,0.21829442831046472
-0.0049959000000000002,0.21164067566905725
-0.0049952700000000004,0.21164067566905725
-0.0049946400000000007,0.22494818095187219
-0.0049940100000000001,0.22162130463116839
-0.0049933800000000004,0.22162130463116839
-0.0049927500000000007,0.22162130463116839
-0.0049921200000000009,0.22162130463116839
-0.0049914900000000003,0.22162130463116839
-0.0049908600000000006,0.22162130463116839
-0.0049902300000000009,0.22494818095186916
-0.0049896000000000003,0.23492880991398318
-0.0049889700000000006,0.24158256255539065
-0.0049883400000000008,0.23492880991398923
-0.0049877100000000002,0.23492880991399226
-0.0049870800000000005,0.24490943887609432
-0.0049864500000000008,0.24490943887609432
-0.0049858200000000002,0.24158256255538763
-0.0049851900000000005,0.23825568623468699
-0.0049845600000000007,0.24490943887609432
-0.0049839300000000001,0.24823631519680114
-0.0049833000000000004,0.25156319151750178
-0.0049826700000000007,0.24823631519679812
-0.0049820400000000009,0.25156319151749873
-0.0049814100000000004,0.25821694415890911
-0.0049807800000000006,0.25156319151750178
-0.0049801500000000009,0.25156319151750178
-0.0049795200000000003,0.25156319151750178
-0.0049788900000000006,0.25821694415890911
-0.0049782600000000008,0.26154382047960983
-0.0049776300000000002,0.26154382047961289
-0.0049770000000000005,0.26487069680031661
-0.0049763700000000008,0.27152444944172405
-0.0049757400000000002,0.26819757312101433
-0.0049751100000000005,0.26154382047961289
-0.0049744800000000007,0.26819757312102038
-0.0049738500000000001,0.27485132576243076
-0.0049732200000000004,0.27817820208313138
-0.0049725900000000007,0.27817820208313138
-0.0049719600000000001,0.27817820208313443
-0.0049713300000000004,0.28150507840383521
-0.0049707000000000006,0.28150507840383521
-0.0049700700000000009,0.27817820208313443
-0.0049694400000000003,0.27817820208313138
-0.0049688100000000006,0.28483195472453882
-0.0049681800000000009,0.28483195472453882
-0.0049675500000000003,0.28483195472453882
-0.0049669200000000005,0.28483195472453882
-0.0049662900000000008,0.29481258368664998
-0.0049656600000000002,0.29481258368664692
-0.0049650300000000005,0.29148570736594631
-0.0049644000000000008,0.29481258368664998
-0.0049637700000000002,0.30146633632805425
-0.0049631400000000004,0.29813946000735364
-0.0049625100000000007,0.29813946000735364
-0.0049618800000000001,0.29813946000735969
-0.0049612500000000004,0.30479321264876114
-0.0049606200000000007,0.31144696529016858
-0.0049599900000000009,0.30479321264876719
-0.0049593600000000003,0.30479321264876114
-0.0049587300000000006,0.30479321264876114
-0.0049581000000000009,0.31477384161086314
-0.0049574700000000003,0.31144696529016858
-0.0049568400000000006,0.31144696529016858
-0.0049562100000000008,0.31810071793156985
-0.0049555800000000002,0.32142759425227652
-0.0049549500000000005,0.3181007179315759
-0.0049543200000000008,0.31144696529016858
-0.0049536900000000002,0.31477384161087529
-0.0049530600000000004,0.3181007179315759
-0.0049524300000000007,0.3181007179315759
-0.0049518000000000001,0.31810071793157896
-0.0049511700000000004,0.32142759425227957
-0.0049505400000000007,0.32475447057298334
-0.0049499100000000009,0.33140822321438479
-0.0049492800000000003,0.32475447057298334
-0.0049486500000000006,0.32475447057298334
-0.0049480200000000009,0.32808134689368401
-0.0049473900000000003,0.33140822321439084
-0.0049467600000000006,0.33140822321439084
-0.0049461300000000008,0.33473509953509145
-0.0049455000000000002,0.33806197585579817
-0.0049448700000000005,0.33806197585579817
-0.0049442400000000008,0.33806197585579817
-0.0049436100000000002,0.33806197585580122
-0.0049429800000000005,0.34138885217650183
-0.0049423500000000007,0.3447157284972055
-0.0049417200000000001,0.34138885217650183
-0.0049410900000000004,0.34138885217650183
-0.0049404600000000007,0.3447157284972055
-0.004939830000000001,0.35136948113860705
-0.0049392000000000004,0.3513694811386131
-0.0049385700000000006,0.34804260481790927
-0.0049379400000000009,0.35469635745931072
-0.0049373100000000003,0.35802323378002043
-0.0049366800000000006,0.35802323378002043
-0.0049360500000000009,0.35469635745931982
-0.0049354200000000003,0.35802323378002043
-0.0049347900000000005,0.36800386274213159
-0.0049341600000000008,0.36467698642142776
-0.0049335300000000002,0.3613501101007241
-0.0049329000000000005,0.3613501101007241
-0.0049322700000000008,0.36467698642142776
-0.0049316400000000002,0.36467698642142776
-0.0049310100000000004,0.36467698642142776
-0.0049303800000000007,0.37465761538353903
-0.0049297500000000001,0.37465761538353598
-0.0049291200000000004,0.3713307390628352
-0.0049284900000000006,0.36800386274213159
-0.0049278600000000009,0.36467698642143082
-0.0049272300000000003,0.36800386274213159
-0.0049266000000000006,0.37465761538353903
-0.0049259700000000009,0.37133073906283826
-0.0049253400000000003,0.3713307390628352
-0.0049247100000000005,0.3779844917042427
-0.0049240800000000008,0.38131136802494331
-0.0049234500000000002,0.37465761538353903
-0.0049228200000000005,0.37465761538353903
-0.0049221900000000008,0.3779844917042427
-0.0049215600000000002,0.38463824434564697
-0.0049209300000000004,0.38131136802494636
-0.0049203000000000007,0.38131136802494636
-0.0049196700000000001,0.38463824434565608
-0.0049190400000000004,0.39129199698705752
-0.0049184100000000007,0.38796512066635369
-0.0049177800000000009,0.38463824434565308
-0.0049171500000000003,0.38796512066635369
-0.0049165200000000006,0.3946188733077613
-0.0049158900000000009,0.39794574962846191
-0.0049152600000000003,0.39794574962846496
-0.0049146300000000006,0.39794574962846496
-0.0049140000000000008,0.40127262594916557
-0.0049133700000000002,0.39794574962846496
-0.0049127400000000005,0.3946188733077613
-0.0049121100000000008,0.3946188733077613
-0.0049114800000000002,0.40127262594916863
-0.0049108500000000005,0.40127262594916863
-0.0049102200000000007,0.40127262594916863
-0.0049095900000000001,0.40459950226987834
-0.0049089600000000004,0.41125325491127973
-0.0049083300000000007,0.40792637859057596
-0.004907700000000001,0.40792637859057596
-0.0049070700000000004,0.40127262594916863
-0.0049064400000000006,0.40792637859057596
-0.0049058100000000009,0.41125325491127668
-0.0049051800000000003,0.40792637859057596
-0.0049045500000000006,0.40792637859057596
-0.0049039200000000008,0.41125325491127668
-0.0049032900000000003,0.41125325491127973
-0.0049026600000000005,0.41125325491127973
-0.0049020300000000008,0.40792637859057596
-0.0049014000000000002,0.41790700755269028
-0.0049007700000000005,0.42123388387339089
-0.0049001400000000007,0.42123388387339089
-0.0048995100000000001,0.41790700755269028
-0.0048988800000000004,0.42123388387339089
-0.0048982500000000007,0.42123388387339089
-0.0048976200000000001,0.41790700755268723
-0.0048969900000000004,0.41790700755268723
-0.0048963600000000006,0.41790700755268723
-0.0048957300000000009,0.4245607601940885
-0.0048951000000000003,0.42123388387339089
-0.0048944700000000006,0.42123388387339089
-0.0048938400000000009,0.42788763651479217
-0.0048932100000000003,0.42456076019409456
-0.0048925800000000005,0.42788763651479822
-0.0048919500000000008,0.42456076019409761
-0.0048913200000000002,0.42788763651480427
-0.0048906900000000005,0.43454138915620566
-0.0048900600000000008,0.43454138915620566
-0.0048894300000000002,0.43454138915620261
-0.0048888000000000004,0.43121451283550205
-0.0048881700000000007,0.43121451283550205
-0.0048875400000000001,0.43454138915619656
-0.0048869100000000004,0.42456076019409456
-0.0048862800000000007,0.42788763651479822
-0.0048856500000000009,0.43454138915619961
-0.0048850200000000003,0.44452201811831682
-0.0048843900000000006,0.44119514179761316
-0.0048837600000000009,0.43786826547691254
-0.0048831300000000003,0.43786826547690949
-0.0048825000000000006,0.43786826547690949
-0.0048818700000000008,0.43454138915620871
-0.0048812400000000002,0.43454138915621476
-0.0048806100000000005,0.44452201811831682
-0.0048799800000000008,0.44784889443902048
-0.0048793500000000002,0.44452201811831682
-0.0048787200000000005,0.44452201811831682
-0.0048780900000000007,0.44452201811831682
-0.0048774600000000001,0.4411951417976101
-0.0048768300000000004,0.43786826547690949
-0.0048762000000000007,0.43786826547690949
-0.0048755700000000009,0.44452201811831077
-0.0048749400000000003,0.45117577075972415
-0.0048743100000000006,0.44784889443902048
-0.0048736800000000009,0.4511757707597211
-0.0048730500000000003,0.45117577075972415
-0.0048724200000000006,0.45782952340113175
-0.0048717900000000008,0.45450264708043103
-0.0048711600000000002,0.45117577075972415
-0.0048705300000000005,0.45117577075972415
-0.0048699000000000008,0.46115639972183542
-0.0048692700000000002,0.4578295234011287
-0.0048686400000000005,0.45450264708042798
-0.0048680100000000007,0.45782952340113175
-0.0048673800000000001,0.45782952340113175
-0.0048667500000000004,0.45782952340113175
-0.0048661200000000007,0.45782952340113175
-0.0048654900000000001,0.4511757707597272
-0.0048648600000000004,0.45450264708042798
-0.0048642300000000006,0.45450264708042798
-0.0048636000000000009,0.45450264708042798
-0.0048629700000000003,0.45782952340113175
-0.0048623400000000006,0.46448327604253908
-0.0048617100000000009,0.46448327604253908
-0.0048610800000000003,0.45782952340113175
-0.0048604500000000005,0.45782952340113175
-0.0048598200000000008,0.46115639972183542
-0.0048591900000000002,0.46115639972183237
-0.0048585600000000005,0.45782952340113175
-0.0048579300000000008,0.45782952340113175
-0.0048573000000000002,0.46448327604254214
-0.0048566700000000004,0.46781015236324275
-0.0048560400000000007,0.45782952340113175
-0.0048554100000000001,0.4511757707597302
-0.0048547800000000004,0.45782952340113175
-0.0048541500000000007,0.46115639972183542
-0.0048535200000000009,0.46448327604253603
-0.0048528900000000003,0.46115639972183542
-0.0048522600000000006,0.46448327604253908
-0.0048516300000000009,0.4678101523632397
-0.0048510000000000003,0.46781015236324275
-0.0048503700000000005,0.46781015236324275
