#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-05-23 13:10::19.661

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
20.000000000000021,0.17059607187525774,-12.647913876796736,-157.06459435384886
20.013821666009239,0.16960238690013338,-12.707672175966092,-156.38350644875413
20.02765288394102,0.17159844618506009,-12.647105370151856,-157.21917298857426
20.04149366039654,0.17225306813423044,-12.924522231980216,-153.72931397850385
20.055344001981531,0.16875473566669119,-12.725837574677508,-156.43843060662303
20.0692039153063,0.17113364757853,-12.691657576773512,-156.85248134018715
20.083073406985712,0.16982376738500854,-12.752630644173568,-155.62962930487743
20.09695248363921,0.17045830778111332,-12.69101468921032,-156.79033531312774
20.11084115189081,0.17221584467798826,-12.672252946570669,-157.11608919980426
20.124739418369124,0.1705041471248189,-12.662126691853341,-157.13501658041844
20.138647289707265,0.17188502839081932,-12.670619708804381,-157.32348568004838
20.152564772543055,0.17054221562539551,-12.692654080624713,-157.03859408895798
20.166491873518837,0.17281813942109664,-12.657441902785786,-157.42337875000388
20.180428599281505,0.16805827324055089,-12.743195388252001,-156.38176455256666
20.194374956482591,0.16991210420644237,-12.667759430486337,-157.3175468356157
20.208330951778283,0.17247982300706857,-12.680873144873521,-157.35164725087517
20.222296591829245,0.17113369791263733,-12.630538873637569,-157.78363686252453
20.236271883300827,0.17139304871103325,-12.670515779873735,-157.56284064257994
20.250256832862963,0.16930229919250012,-12.692004525739968,-157.17742929187511
20.264251447190198,0.17007898204909161,-12.677762951351454,-157.29382321238398
20.278255732961693,0.16880383033596288,-12.634420921322697,-158.12129119224096
20.292269696861215,0.17053714125492334,-12.664199654497805,-157.45375515081631
20.306293345577167,0.17190680025329991,-12.622861409089982,-158.03300600215724
20.320326685802556,0.17291894829221538,-12.677174165218796,-157.40074694909509
20.334369724235025,0.17064844601374321,-12.635719222223848,-158.09251770597223
20.34842246757686,0.17032778581389074,-12.838139567095084,-155.10064693723106
20.362484922534907,0.17230268982164385,-12.638772304548558,-158.1046521286637
20.376557095820758,0.17092538984865546,-12.652984229386471,-157.89792808510228
20.390638994150589,0.17092763258752347,-12.642468267450692,-158.11111988075618
20.404730624245172,0.17220241793088953,-12.661878195386503,-158.16344164966182
20.418831992829968,0.17012054013451269,-12.630046274012102,-158.21393813248014
20.43294310663515,0.17491881376786342,-12.651936823613585,-158.19352094097243
20.447063972395416,0.17279433793283794,-12.636200254931678,-158.30039417810642
20.461194596850191,0.17288821809973431,-12.6021488607309,-158.72197715626197
20.475334986743555,0.1703420502902471,-12.643888002023054,-158.35043133153738
20.489485148824237,0.17203647656064566,-12.621164358486487,-158.70873484987985
20.50364508984563,0.17068504084167835,-12.635932074244874,-158.51733607876795
20.517814816565799,0.17220615361926767,-12.605836158435483,-158.99813793844314
20.531994335747481,0.17040013149214067,-12.630809629611203,-158.54402203306054
20.546183654158071,0.17245773999399169,-12.602382623749655,-158.78350030654835
20.560382778569661,0.17154501445935944,-12.65364298736557,-158.38829491221153
20.574591715759038,0.17025902095706782,-12.652055265710043,-158.419209929749
20.588810472507578,0.17366265911676415,-12.615746352689797,-158.82119104315606
20.603039055601485,0.17468826167862767,-12.622751878845168,-159.17450984152154
20.617277471831574,0.17147207798309974,-12.589076746558064,-159.46977128856599
20.631525727993328,0.17203534746327523,-12.637833994675489,-158.97896256417141
20.645783830886948,0.1718941296692407,-12.599944859196345,-159.40891372740586
20.660051787317421,0.17135896105391446,-12.608675592472379,-159.21986001156114
20.674329604094297,0.17363313833585345,-12.618637266549598,-159.25922759521902
20.68861728803191,0.16910009431367998,-12.611387517204404,-159.15378532566092
20.702914845949294,0.17071389424051486,-12.601745283531917,-159.43504878229038
20.717222284670193,0.16771161192063486,-12.797096108433724,-156.33486027626549
20.731539611023067,0.17187998310419872,-12.649421685605756,-158.81494956728693
20.745866831841088,0.1712829463828916,-12.566627475344132,-159.97852378977348
20.760203953962158,0.17084730683959815,-12.583550355794515,-159.82699451682157
20.774550984228906,0.17180691119817865,-12.617013466936909,-159.35216509562193
20.78890792948868,0.17192157202056285,-12.643459056588613,-159.01459930825661
20.803274796593591,0.17095274430681423,-12.570671270969422,-159.91732509395047
20.817651592400392,0.17179902579978604,-12.622864179748179,-159.44307763520357
20.832038323770714,0.17005676980478665,-12.588386111120291,-160.04789945803185
20.846434997570853,0.17123088339729242,-12.584503824588289,-159.77580110081703
20.86084162067182,0.17231507648260541,-12.63447090290423,-159.29752186104048
20.875258199949403,0.17086628075894492,-12.627762620422097,-159.42203848485866
20.889684742284217,0.17073616025177463,-12.576497013394061,-160.0677436563642
20.904121254561506,0.17384721923599078,-12.605243329957066,-159.91455082379707
20.918567743671343,0.1697261416265593,-12.606002886917054,-160.07622923373506
20.933024216508553,0.16985594827166739,-12.594546468673141,-160.05137355935955
20.947490679972727,0.16928431776530029,-12.60452684709977,-159.82005908303873
20.961967140968213,0.17154688763025075,-12.579435688417149,-160.20652569257939
20.976453606404149,0.1705427339228405,-12.577766852607219,-160.40273692710824
20.990950083194427,0.17013887480648038,-12.611792942866993,-159.89287548399886
