#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-06-21 09:20::50.904

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
20.000000000000021,0.087588773877869758,-14.586471619703794,-156.5399609696367
20.027655651693966,0.08738080760603105,-14.590308142675351,-156.62121621381806
20.055349545141485,0.087604828687365771,-14.584293968480935,-156.62174165865417
20.083081733222521,0.087666181584886774,-14.58121966513888,-156.6597455700342
20.110852268890298,0.08748513326026218,-14.578678187384416,-156.66176543154373
20.138661205171157,0.08759234887094576,-14.582082236968612,-156.66146035920303
20.166508595164789,0.087364828076635717,-14.580165455283359,-156.72049659778915
20.194394492044371,0.087464899572040081,-14.58303183235903,-156.69870260934002
20.222318949056476,0.08745344065998098,-14.582422002322401,-156.7952027102437
20.25028201952145,0.087518509146839701,-14.569603524047976,-156.79007665816317
20.278283756833272,0.087536111424561788,-14.565665256068483,-156.7844145156345
20.306324214459771,0.087586230532665593,-14.570012372273185,-156.78542153491358
20.334403445942787,0.087279918067014989,-14.57035800859315,-156.8508733973222
20.362521504898044,0.08753838593525487,-14.564663251415706,-156.83842774472578
20.390678445015563,0.087580606970101921,-14.561304951889042,-156.90346815828585
20.418874320059516,0.087153776370382574,-14.557998492453592,-156.84643411223223
20.447109183868413,0.087355304697761149,-14.548775091637388,-156.87801899162133
20.475383090355312,0.087396845897388692,-14.564894993434939,-156.94724028765728
20.503696093507664,0.087497420819648231,-14.549659117414462,-156.96864182302397
20.53204824738771,0.087363303842054582,-14.550986965933346,-156.9986410807729
20.560439606132388,0.087548845808688602,-14.552694802035679,-157.03232234082674
20.588870223953467,0.087602593999003414,-14.548063686915979,-157.03312405923975
20.617340155137786,0.087263102194591713,-14.547973084161415,-157.02304854427942
20.645849454047088,0.087260470006883001,-14.547424009459803,-157.06369388714432
20.674398175118451,0.087509034833245208,-14.545883427810741,-157.03352677384865
20.702986372864121,0.087649272047340257,-14.542623912489251,-157.06738304292787
20.731614101871742,0.087543859392931897,-14.542715090892619,-157.06450831508391
20.760281416804517,0.087683170297713109,-14.534893847916731,-157.12483943035232
20.788988372401093,0.087348851227477653,-14.533853659143398,-157.12248156087475
20.817735023475944,0.087421433495572576,-14.523611285099038,-157.19193653964373
20.846521424919271,0.087757918968883311,-14.532775929843975,-157.17621155992498
20.875347631697171,0.087357392024934144,-14.53502788282057,-157.22926723124584
20.904213698851823,0.087554978129812028,-14.526795546852441,-157.19670708198231
20.933119681501388,0.087510622221020712,-14.525951706898892,-157.28660998994985
20.962065634840375,0.087722797487731083,-14.520640887915208,-157.27009814909789
20.991051614139533,0.087737659452562372,-14.5218869167898,-157.29814322767604
21.020077674746044,0.087474481036632551,-14.516916562179778,-157.29744974792476
