#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-05-22 16:45::27.367

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
20.000000000000021,0.1577199058382372,-14.769578314588728,-166.77999584515638
20.013821666009239,0.15732649771388019,-14.771725939531095,-166.75358668147675
20.02765288394102,0.15659275164441155,-14.758212807098269,-166.81925454723236
20.04149366039654,0.15634486364483646,-14.760452392844886,-166.8303649227305
20.055344001981531,0.15829647054668267,-14.750371722747262,-166.88330117862228
20.0692039153063,0.15598517298371392,-14.764276196083546,-166.90021784767447
20.083073406985712,0.15750995798735573,-14.753307630954961,-166.86098867606356
20.09695248363921,0.15443411927977344,-14.76045531614465,-166.97392349718265
20.11084115189081,0.15437680557049865,-14.766896574890794,-167.01733839918313
20.124739418369124,0.15908175063844782,-14.758483696451547,-166.97445181749276
20.138647289707265,0.15477855374761174,-14.75609803443287,-166.8998318525957
20.152564772543055,0.15376478795374787,-14.761784778159246,-167.02815187884943
20.166491873518837,0.15385874712772984,-14.75876901520089,-167.0552430579433
20.180428599281505,0.15466637598449004,-14.762334022281943,-166.95135648355554
20.194374956482591,0.15708197726782885,-14.76910347523788,-167.13806513057236
20.208330951778283,0.1554439654984679,-14.765573664457204,-167.10982909522414
20.222296591829245,0.15627536813354245,-14.761885742019922,-167.09664453070098
20.236271883300827,0.15746227908774998,-14.765285061169655,-167.06713478552899
20.250256832862963,0.15937417551845498,-14.763819200281965,-167.11022809948361
20.264251447190198,0.15541180065256507,-14.756206147127248,-167.0551113577732
20.278255732961693,0.15813037733461682,-14.749056723601859,-167.1373594914013
20.292269696861215,0.15406066359308959,-14.745737816313991,-167.11116857025704
20.306293345577167,0.15471609039868542,-14.7492222614916,-167.09533737291204
20.320326685802556,0.15796521205408226,-14.750609310798898,-167.109858653206
20.334369724235025,0.15470479268894025,-14.748121741915696,-167.29622383486594
20.34842246757686,0.15641085058723159,-14.758988858128175,-167.23340526658259
20.362484922534907,0.15585139710176163,-14.748533612645272,-167.21911436672076
20.376557095820758,0.15648026439542179,-14.75044161201815,-167.35596046008976
20.390638994150589,0.155319720803031,-14.748011611919514,-167.17892592708546
20.404730624245172,0.15917432712943397,-14.748656386332202,-167.34356193069507
20.418831992829968,0.1551399653630221,-14.743301553322915,-167.45473345977589
20.43294310663515,0.15649052621223564,-14.744014738171778,-167.30538407462421
20.447063972395416,0.15449723399243265,-14.738176105919511,-167.34586830370924
20.461194596850191,0.15671142115270684,-14.748635684759146,-167.3662602390163
20.475334986743555,0.15719794411473587,-14.736476534112962,-167.34072972741595
20.489485148824237,0.15683904584315914,-14.737317720048553,-167.46356438379334
20.50364508984563,0.15827322797288496,-14.747179635301947,-167.27693660970999
20.517814816565799,0.15800870924943436,-14.743587841875064,-167.39557569035688
20.531994335747481,0.15735144036275156,-14.743167590337048,-167.55794748611657
20.546183654158071,0.15485984756788135,-14.745808651172814,-167.50840102419724
20.560382778569661,0.15747943649310847,-14.730344737339408,-167.58494485554755
20.574591715759038,0.15966589315890867,-14.727528795074898,-167.53219550277652
20.588810472507578,0.15656968156312775,-14.742834613012999,-167.662023248651
20.603039055601485,0.15575367121367797,-14.73509343184798,-167.67208927810066
20.617277471831574,0.15518373185051942,-14.721167858535063,-167.59348350258929
20.631525727993328,0.15916229013677977,-14.741943238827499,-167.62342171700502
20.645783830886948,0.15680063469233674,-14.72610634059998,-167.59151094104215
20.660051787317421,0.1580236997474197,-14.73624353897983,-167.73675167855035
20.674329604094297,0.1573017128646515,-14.733297430134741,-167.58264773057647
20.68861728803191,0.15801042949084268,-14.720352404576023,-167.68224696308843
20.702914845949294,0.1564856363486414,-14.72609735566563,-167.65898710132421
20.717222284670193,0.15824184417340409,-14.739502363934378,-167.78813012734054
20.731539611023067,0.15385880275111963,-14.712862724848893,-167.66748540227178
20.745866831841088,0.15751838021999864,-14.728832437078305,-167.68640555024274
20.760203953962158,0.15784187203005667,-14.717340601551903,-167.65488900165005
20.774550984228906,0.15679825747664045,-14.717533064824098,-167.73373694105354
20.78890792948868,0.15722359444747641,-14.733009290958138,-167.93250001421745
20.803274796593591,0.15646625714294332,-14.729003872571067,-167.74433502292527
20.817651592400392,0.15764603840288494,-14.715700558460014,-167.8389133407764
20.832038323770714,0.1570721629698022,-14.724811810119434,-167.88576990774374
20.846434997570853,0.15866415309164092,-14.725579208066859,-167.81332172809712
20.86084162067182,0.15726966411989646,-14.726668396665596,-167.86391274380756
20.875258199949403,0.15584589283871911,-14.723109503671125,-167.92862363049974
20.889684742284217,0.15810268939582361,-14.720759886994925,-167.89719350794283
20.904121254561506,0.15573241021862,-14.719107849513879,-167.88702179928933
20.918567743671343,0.15414660554334328,-14.716479972695051,-167.881424765497
20.933024216508553,0.15721533901352699,-14.718250792880085,-167.93836751685842
20.947490679972727,0.15442495244499177,-14.724591948996643,-168.03430530802268
20.961967140968213,0.15556364223197205,-14.717548248977197,-167.99214922001877
20.976453606404149,0.15557067028072208,-14.709836379382185,-168.04878012190332
20.990950083194427,0.15715574559514645,-14.703529353118496,-167.99415501899182
21.005456578257732,0.1556184852140782,-14.72724838400795,-168.105931819755
21.019973098517521,0.1570627652006511,-14.697837515755729,-168.12445768682858
21.034499650902067,0.155589230814076,-14.7221144411896,-168.04564785789182
21.049036242344336,0.15705105842935715,-14.711421288159842,-168.10574828356735
21.063582879782217,0.15764562275543503,-14.712645401632141,-168.14928105743616
21.078139570158328,0.15745279844665377,-14.718886103660214,-168.14999653783488
21.092706320420028,0.15407427668910989,-14.716304202487846,-168.1416904810107
21.107283137519595,0.15174203530759106,-14.70920156500253,-168.20829915458327
21.121870028414058,0.15532024066323677,-14.70157861827396,-168.17119410943221
21.136467000065199,0.15607085145968091,-14.713454329965977,-168.20906961800901
21.151074059439665,0.15671627557504597,-14.719500023994554,-168.25960564236021
21.165691213508975,0.15589163199384559,-14.725074323938202,-168.32035600269683
21.180318469249347,0.16164354402300918,-14.74187463043782,-168.24119261768331
21.194955833641888,0.15287037230683168,-14.733116944653531,-168.23653555564903
21.209603313672524,0.15625669083646287,-14.690452467468003,-168.24195444971718
21.224260916332003,0.15460201296628837,-14.693959922214116,-168.33234410179696
21.238928648615904,0.15622868444100799,-14.70429644634766,-168.29251035561748
21.253606517524641,0.15593710648264683,-14.704243071248051,-168.36666238087653
21.268294530063471,0.15423539229878863,-14.721544431794086,-168.42217583432972
21.282992693242484,0.15794142775447217,-14.72341116125696,-168.43680353051971
21.297701014076612,0.15734114616061615,-14.712829574825966,-168.39852240228973
21.312419499585673,0.15865456834835717,-14.707462713226359,-168.3621601948461
21.327148156794234,0.15660323064478793,-14.712186908777333,-168.40144067764101
21.341886992731848,0.15677030354814486,-14.714612162763487,-168.47612862616066
21.356636014432869,0.15808124348916516,-14.696396719987074,-168.53959607866656
21.371395228936468,0.15618624817832191,-14.702909395464882,-168.57842301466849
21.386164643286712,0.15819374122578886,-14.691004093151861,-168.54074206707088
21.400944264532619,0.15440862497937674,-14.705592802828926,-168.61832569242426
21.415734099727931,0.15801349013572694,-14.697382653499131,-168.5781486145963
21.430534155931365,0.15886721185381175,-14.69087082973634,-168.56558764776602
21.445344440206483,0.15974931468494069,-14.697460392919631,-168.56186113333911
21.460164959621743,0.15808846647090938,-14.69195576330452,-168.58691651273367
21.474995721250476,0.15624368344395764,-14.689174593542095,-168.59265896239947
21.4898367321709,0.15770259451819743,-14.699501982220124,-168.62359493784618
21.504687999466132,0.15638884728825309,-14.686792456653402,-168.58383213060316
21.519549530224186,0.15716153637428798,-14.694358927980522,-168.5886540329895
21.534421331537967,0.15687623363568198,-14.705922120039466,-168.69638708233595
21.549303410505306,0.15915879526855536,-14.708139086453082,-168.77062255520181
21.56419577422885,0.15820759075323215,-14.697076443175749,-168.76642761563548
21.579098429816284,0.1573755720579908,-14.681891734424589,-168.8040829049479
21.594011384380153,0.156579887132451,-14.699580062525204,-168.71904879051544
21.608934645037863,0.15515402750159554,-14.701500203572561,-168.87517882313952
21.623868218911781,0.15562621946660279,-14.707900187348134,-168.85144799529382
21.638812113129259,0.1548351864218746,-14.684351716761398,-168.85045276166844
21.65376633482245,0.15941633000504463,-14.69265656173388,-168.90697247538426
21.668730891128529,0.1553812047682181,-14.691117759359182,-168.78954494406656
21.683705789189574,0.15625803841119495,-14.688052665801607,-168.87927720274308
21.698691036152589,0.15430728274736621,-14.673227267507258,-168.87037090758997
21.713686639169534,0.15791406637173006,-14.684768777074204,-168.76073461899571
21.728692605397303,0.15656743111197982,-14.677790788837395,-168.86509769579527
