#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-02-22 10:42::04.903

Frequency (Hz),Channel 1 Magnitude (V),Channel 2 Magnitude (V),Channel 2 Phase (°)
10.000000000000012,1.0001455664089964,0.26430080643923315,0.68098557368650603
10.015407361541453,1.0001581436361258,0.26432880332480974,0.6780282107229425
10.030838461761862,1.0001319374273272,0.26429798919253322,0.68147852224237937
10.046293337236277,1.0001579733952826,0.26428488758348972,0.68275121690300011
10.061772024596104,1.0001475638885655,0.26429969773451445,0.68695780724519295
10.077274560529155,1.0001359977937203,0.26430635594454138,0.68573310648560692
10.092800981779789,1.0001471262477462,0.26429264468698954,0.68514461345729671
10.108351325149009,1.0001267653725572,0.26429442954915655,0.68651707952593455
10.123925627494456,1.0001198769324906,0.26428546778477202,0.69298503542182033
10.139523925730614,1.0001479599973797,0.26429744299622976,0.69399979277142165
10.155146256828788,1.0001468295805094,0.26429412190473184,0.69371616988573948
10.170792657817303,1.0001591936953929,0.26429899099652843,0.69498437102076593
10.186463165781518,1.0001356690685552,0.26428859022210943,0.69439319509628206
10.202157817863894,1.0001421315196466,0.26427522540991405,0.69235314151175231
10.217876651264161,1.0001470423552843,0.2642709676044121,0.69672268614941402
10.233619703239349,1.0001232559399786,0.26429467478233382,0.69889601080031838
10.249387011103892,1.0001080398013871,0.26428175206222082,0.70028963730193539
10.265178612229715,1.0001303225906353,0.26426406004301184,0.70231115480240192
10.280994544046324,1.0001060184349777,0.26429079304097136,0.70309862180899074
10.296834844040905,1.0001225728419334,0.26427908114786558,0.70475869570022809
10.312699549758369,1.0001415249275947,0.26429600357764427,0.70012916979888473
10.328588698801509,1.0001213722422333,0.26427439275293224,0.70818904587631692
10.344502328831037,1.0001267640187079,0.26427978768890698,0.70906697476223002
10.360440477565694,1.0001102900392556,0.26425860148056918,0.7079526298601877
10.376403182782349,1.0001170923592835,0.26428535000727787,0.71043829588594321
10.392390482316026,1.0001198710667283,0.26426910242887436,0.71175052240192116
10.408402414060115,1.0001267798539137,0.26427033573669673,0.71341671379635585
10.424439015966348,1.0001310441565612,0.26428250399547737,0.7146316984247747
10.440500326044919,1.0001456843346221,0.2642728047164899,0.71608782717979125
10.456586382364609,1.0001035417904804,0.26427214850562658,0.71672829561310891
10.472697223052849,1.0001029264472372,0.2642745136638574,0.71343468557888912
10.488832886295812,1.0001102560621979,0.26428820832022759,0.71737329628985691
10.504993410338514,1.0001196603797124,0.2642679695043994,0.72265626295015295
10.521178833484859,1.000136200659304,0.26426747858138111,0.72222511136390466
10.537389194097825,1.0001351809730747,0.26426964314498563,0.72301497227360834
10.553624530599469,1.0001567163633915,0.26427670922470498,0.72200475095557692
10.569884881471026,1.0001064743720587,0.26428637028253743,0.72456295442910346
10.586170285253049,1.0001299442345912,0.26426404964972489,0.72601523371104548
10.602480780545466,1.0001376205342642,0.26426292422869668,0.7271628831348238
10.618816406007671,1.000132192424104,0.26426429666661044,0.72724345510085442
10.635177200358626,1.0001383156100021,0.26425551849778506,0.72982622560567734
10.651563202376947,1.0001443627480278,0.26425661434639741,0.72930460880863279
10.667974450901012,1.0001200683892517,0.26425484890201106,0.73310299603925699
10.684410984829,1.0001122779334142,0.26427684643755706,0.73507523001794084
10.700872843119061,1.0001171102166349,0.26426945144421787,0.739026991058509
10.717360064789354,1.000125723966278,0.26425208789513316,0.73685211959983832
10.733872688918154,1.000129484526274,0.26424991091976985,0.7417768537435947
10.750410754643962,1.0001114136894969,0.26425821034610164,0.74150283248695104
10.766974301165531,1.0001158336345384,0.26426886201185706,0.73975883738157933
10.783563367742078,1.0001136427092416,0.26425330201558855,0.74124322133290121
10.800177993693271,1.0000936984550788,0.26427669545385751,0.74223815226581991
10.816818218399346,1.0001330153904975,0.2642401371450363,0.74617810847171739
10.83348408130124,1.0001284991726209,0.26424847608241858,0.74808523986029485
10.850175621900647,1.0001425176494234,0.26424910050501055,0.74192459106880193
10.866892879760123,1.000136868955944,0.26426074758263796,0.74905048053124546
10.88363589450319,1.0001192230805722,0.26425729917936136,0.7523563706147911
10.900404705814381,1.0001385790636419,0.2642400942045689,0.75376912492405523
10.917199353439443,1.0001548754209677,0.26424865487777838,0.75032673023208929
10.934019877185285,1.0001378055100338,0.26424608920571274,0.75144505995699973
10.950866316920196,1.0001391269976978,0.26424823682514742,0.74896865814858415
10.967738712573874,1.0001373875844659,0.26424577657620374,0.75489581771758196
10.984637104137542,1.0001440855769248,0.26425052474356803,0.75766468954856236
11.001561531664054,1.0001235294544446,0.26423101317277176,0.75934425507023917
11.018512035267918,1.000144231490443,0.26422029877534803,0.75836628347322232
11.035488655125526,1.0001669663730164,0.26423574927924393,0.75910859530589647
11.052491431475136,1.0001510287385933,0.2642429527741626,0.76337063044861253
11.069520404616979,1.0001394824485743,0.26422764701850193,0.76377050167261018
11.086575614913409,1.0001181822922343,0.26424769703985257,0.76677828933009806
11.103657102788958,1.000169574543885,0.26423140359316849,0.7656334229704953
11.120764908730445,1.0001659459350993,0.264228334554306,0.76687960114532672
11.137899073287075,1.0001619245946096,0.26423374119164916,0.77312582118727846
11.155059637070485,1.0001546873932017,0.26423657936067996,0.77399898032660985
11.172246640754965,1.0001148577739456,0.26423404501882009,0.77114699154654431
11.189460125077391,1.0001343216870384,0.26422207003650044,0.77543999229902738
11.206700130837451,1.0000828997593691,0.26422423549091612,0.7730155616351837
11.223966698897684,1.0001345621057964,0.26423020327845986,0.78013080271480106
