#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-05-22 12:57::11.737

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
20.000000000000021,0.16859499598285094,-14.853682398743979,-157.26612069030779
20.013821666009239,0.16791623280409559,-14.934204549896808,-157.06161692283737
20.02765288394102,0.17067852723365035,-14.75235291722986,-158.35738724596803
20.04149366039654,0.16794286198079134,-14.72904134264464,-157.93968786151896
20.055344001981531,0.16479923177996519,-14.698944531080333,-157.67926923679732
20.0692039153063,0.16622632793528325,-14.929939710738205,-155.99419309941976
20.083073406985712,0.16588927065067902,-14.785835060481487,-157.84454542995252
20.09695248363921,0.16749579660634056,-14.839341346689856,-157.79851905288936
20.11084115189081,0.16498888022759725,-14.693874056695142,-157.72926940557343
20.124739418369124,0.1687202540238657,-14.87481082547189,-157.21085205407806
20.138647289707265,0.16685763848143045,-14.868572192977529,-155.83395579688124
20.152564772543055,0.16857170281388162,-14.881951360397485,-157.65192271453128
20.166491873518837,0.16712511231687122,-14.683619679574305,-158.59981644903283
20.180428599281505,0.16588308209245634,-14.815682808022469,-157.55292095079739
20.194374956482591,0.16737895968611999,-14.865119514599778,-157.68517875674468
20.208330951778283,0.16500930697705446,-14.695853048733623,-158.41847162470123
20.222296591829245,0.16708029305799785,-14.915782786530094,-157.41918632116125
20.236271883300827,0.1665443849437051,-14.788047404778037,-158.62795492768106
20.250256832862963,0.17010342992867331,-14.658809006346047,-158.65842220138541
20.264251447190198,0.16686303093024035,-14.657073517494519,-159.25890503112964
20.278255732961693,0.16579016471145347,-14.770412756187362,-156.76224574507748
20.292269696861215,0.16822851424239205,-14.761080829339914,-158.18027662822522
20.306293345577167,0.16690133187686781,-14.793575457365959,-157.17317634746439
20.320326685802556,0.16847401006071805,-14.861350859012092,-157.53344032435172
20.334369724235025,0.16912435488562108,-14.779961177461301,-157.98793809400328
20.34842246757686,0.16598777523358507,-14.741803084858468,-158.17963529404227
20.362484922534907,0.16634693179894747,-14.816438644087031,-157.51972649788729
20.376557095820758,0.16912409034909429,-14.784945710713211,-157.13733375368867
20.390638994150589,0.16725652230246149,-14.75678329003232,-158.34221922436507
20.404730624245172,0.16642612130836523,-14.747012301129466,-158.28862200844608
20.418831992829968,0.1649848375122781,-14.728115901297027,-158.24450589655493
20.43294310663515,0.17022281010746224,-14.877921847397682,-157.70720788752419
20.447063972395416,0.16496937931848979,-14.81517514802251,-158.13316020192377
