#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-02-17 09:51::13.527

Frequency (Hz),Trace 1 (dBu)
0,-47.361193508830972
4.88525390625,-93.555347031471484
9.7705078125,-84.49669315172109
14.65576171875,-81.518657271462132
19.541015625,-79.297830179390758
24.42626953125,-82.117102863215649
29.3115234375,-77.244231569144645
34.19677734375,-76.038833467249987
39.08203125,-72.485317946859823
43.96728515625,-72.206437522632072
48.8525390625,-72.163952995315668
53.73779296875,-67.749194249612344
58.623046875,-65.861691700657033
63.50830078125,-63.212247862644908
68.3935546875,-59.875374893883489
73.27880859375,-55.409854334368987
78.1640625,-46.516748273481937
83.04931640625,-42.577744937645008
87.9345703125,-53.131044684006184
92.81982421875,-57.531005059416046
97.705078125,-59.758670633522264
102.59033203125,-61.530202413554747
107.4755859375,-62.843279852913582
112.36083984375,-63.254020159926682
117.24609375,-63.485845549649724
122.13134765625,-63.325655221624373
127.0166015625,-63.275993212031722
131.90185546875,-62.407790216786225
136.787109375,-61.240822320462541
141.67236328125,-59.704578779569275
146.5576171875,-57.149224310933931
151.44287109375,-54.635697801361538
156.328125,-49.251437878314512
161.21337890625,-33.914717203702423
166.0986328125,-44.961223636812512
170.98388671875,-52.10591242267293
175.869140625,-55.983116972570805
180.75439453125,-58.414755326638399
185.6396484375,-60.288625448254258
190.52490234375,-61.763026709177737
195.41015625,-62.994211213369837
200.29541015625,-64.368102164304716
205.1806640625,-65.319327415959876
210.06591796875,-66.37352518504909
214.951171875,-67.090157824948804
219.83642578125,-67.327678151331384
224.7216796875,-68.066025280623123
229.60693359375,-68.953676332218407
234.4921875,-70.319195887907171
239.37744140625,-68.059166224301265
244.2626953125,-38.379893133751672
249.14794921875,-62.814147154054055
254.033203125,-65.779143876945653
258.91845703125,-67.109476174253743
263.8037109375,-68.192832911836007
268.68896484375,-68.360498231206506
273.57421875,-68.826441088997626
278.45947265625,-69.292562838618039
283.3447265625,-69.57227936571195
288.22998046875,-70.088070931233744
