#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-05-25 15:20::09.166

Time (s),Channel 1 (V),Channel 2 (V)
-0.011187500000000003,0.0017940698751384154,0.33587183713537705
-0.011174999999999997,0.0051613062225880357,0.33250368012217663
-0.011162499999999999,0.0051613062225880357,0.33587183713537705
-0.01115,0.0051613062225880357,0.33587183713537705
-0.011137500000000002,0.0051613062225880357,0.33587183713537705
-0.011125000000000003,0.0051613062225880357,0.33923999414857908
-0.011112499999999997,0.0051613062225880357,0.33250368012217663
-0.011099999999999999,0.0051613062225880357,0.33587183713537705
-0.0110875,0.0051613062225880357,0.33587183713537705
-0.011075000000000002,0.0051613062225880357,0.33923999414857908
-0.011062500000000003,0.0051613062225880357,0.33587183713537705
-0.011049999999999997,0.0051613062225880357,0.3358718371353786
-0.011037499999999999,0.0051613062225880357,0.33923999414857908
-0.011025,0.0051613062225880357,0.33587183713537705
-0.011012500000000001,0.0051613062225880357,0.33587183713537705
-0.011000000000000003,0.0051613062225880357,0.33587183713537705
-0.010987499999999997,0.0051613062225880357,0.33250368012217812
-0.010974999999999999,0.0051613062225880357,0.33923999414857908
-0.0109625,0.0017940698751384154,0.33587183713537705
-0.010950000000000001,0.0051613062225880357,0.33923999414857908
-0.010937500000000003,0.0051613062225880357,0.33587183713537705
-0.010924999999999997,0.0051613062225865048,0.33587183713537705
-0.010912499999999999,0.0017940698751384154,0.33587183713537705
-0.0109,0.0051613062225880357,0.33587183713537705
-0.010887500000000001,0.0051613062225880357,0.33587183713537705
-0.010875000000000003,0.0017940698751384154,0.33587183713537705
-0.010862499999999997,0.0051613062225880357,0.33923999414857603
-0.010849999999999999,0.0051613062225880357,0.33250368012217507
-0.0108375,0.0051613062225880357,0.33587183713537705
-0.010825000000000001,0.0051613062225880357,0.33587183713537705
-0.010812500000000003,0.0051613062225880357,0.33923999414857908
-0.010799999999999997,0.0051613062225880357,0.33250368012217663
-0.010787499999999998,0.0051613062225880357,0.33587183713537705
-0.010775,0.0051613062225880357,0.33587183713537705
-0.010762500000000001,0.0051613062225880357,0.33587183713537705
-0.010750000000000003,0.0051613062225880357,0.33250368012217507
-0.010737500000000004,0.0051613062225880357,0.3358718371353755
-0.010724999999999998,0.0051613062225880357,0.33587183713537705
-0.0107125,0.0017940698751384154,0.33250368012217507
-0.010700000000000001,0.0017940698751384154,0.33587183713537705
-0.010687500000000003,0.0051613062225880357,0.33923999414857908
-0.010675000000000004,0.0051613062225880357,0.3358718371353786
-0.010662499999999998,0.0051613062225880357,0.33250368012217507
-0.01065,0.0051613062225880357,0.33587183713537705
-0.010637500000000001,0.0051613062225880357,0.33587183713537705
-0.010625000000000002,0.0051613062225880357,0.33587183713537705
-0.010612500000000004,0.0051613062225880357,0.33587183713537705
-0.010599999999999998,0.0051613062225880357,0.33923999414857908
-0.0105875,0.0051613062225880357,0.33587183713537705
-0.010575000000000001,0.0051613062225880357,0.33250368012217507
-0.010562500000000002,0.0017940698751384154,0.33923999414857908
-0.010550000000000004,0.005161306222586504,0.3358718371353786
-0.010537499999999998,0.0017940698751384154,0.33587183713537705
-0.010525,0.0051613062225880357,0.33587183713537705
-0.010512500000000001,0.0017940698751384154,0.33587183713537705
-0.010500000000000002,0.0051613062225880357,0.33587183713537705
-0.010487500000000004,0.0017940698751399468,0.33587183713537705
-0.010474999999999998,0.0017940698751384154,0.33923999414857908
-0.0104625,0.0017940698751384154,0.33250368012217507
-0.010450000000000001,0.0017940698751384154,0.33250368012217507
-0.010437500000000002,0.0051613062225880357,0.33923999414857908
-0.010425000000000004,0.0017940698751399468,0.33250368012217812
-0.010412499999999998,0.0051613062225880357,0.33250368012217507
-0.0104,0.0017940698751384154,0.33587183713537705
-0.010387500000000001,0.0051613062225880357,0.33587183713537705
-0.010375000000000002,0.0017940698751384154,0.33587183713537705
-0.010362500000000004,0.0017940698751384154,0.32913552310897615
-0.010349999999999998,0.0051613062225880357,0.33587183713537705
-0.010337499999999999,0.0017940698751384154,0.33250368012217507
-0.010325000000000001,0.0017940698751384154,0.33250368012217507
-0.010312500000000002,0.0017940698751384154,0.33587183713537705
-0.010300000000000004,0.005161306222586504,0.33250368012217663
-0.010287499999999998,0.0017940698751384154,0.33250368012217507
-0.010274999999999999,0.0051613062225880357,0.33250368012217507
-0.010262500000000001,0.0017940698751384154,0.33250368012217507
-0.010250000000000002,0.0051613062225880357,0.33587183713537705
-0.010237500000000004,0.0051613062225880357,0.33250368012217663
-0.010224999999999998,0.0051613062225880357,0.33250368012217507
-0.010212499999999999,0.0017940698751384154,0.33250368012217507
-0.010200000000000001,0.0017940698751384154,0.32913552310897309
-0.010187500000000002,0.0017940698751384154,0.33250368012217507
-0.010175000000000003,0.0017940698751384154,0.325767366095774
-0.010162499999999998,0.0017940698751384154,0.33250368012217507
-0.010149999999999999,0.0051613062225880357,0.33250368012217507
-0.010137500000000001,0.0017940698751384154,0.32913552310897309
-0.010125000000000002,0.0017940698751384154,0.33250368012217507
-0.010112500000000003,0.0017940698751384154,0.33250368012217507
-0.010099999999999998,0.0017940698751384154,0.32913552310897309
-0.010087499999999999,0.0051613062225880357,0.33250368012217507
-0.010075000000000001,0.0051613062225880357,0.32913552310897309
-0.010062500000000002,0.0051613062225880357,0.33587183713537705
-0.010050000000000003,0.0051613062225880357,0.33250368012217507
-0.010037499999999998,0.0017940698751384154,0.33587183713537705
-0.010024999999999999,0.0017940698751384154,0.33250368012217507
