#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-02-20 13:00::55.805

Frequency (Hz),Channel 1 Magnitude (V),Channel 2 Magnitude (V)
10.000000000000012,0.7364408982534385,0.26290650858057196
10.015407361541453,0.73646620648594052,0.2629142348403295
10.030838461761862,0.73644880665753176,0.26291820134890082
10.046293337236277,0.73645316751140877,0.26289779678860725
10.061772024596104,0.73642145040212148,0.26289267611991035
10.077274560529155,0.73644581206712623,0.26290052317106088
10.092800981779789,0.73646466066306127,0.26290035023562802
10.108351325149009,0.73643831876463461,0.26289015884036637
10.123925627494456,0.73643878884863911,0.26289947004069875
10.139523925730614,0.73644017576307963,0.26289612336270934
10.155146256828788,0.73642514479651144,0.2628974167908591
10.170792657817303,0.7364466956264184,0.2628826651611379
10.186463165781518,0.7364499934370875,0.26291068823699881
10.202157817863894,0.73645275643998331,0.26288336009949181
10.217876651264161,0.73645189665060518,0.26288414158098428
10.233619703239349,0.73644901187137657,0.2628901675515023
10.249387011103892,0.73647274199715185,0.26288545984852707
10.265178612229715,0.73646181249440823,0.26288756048661976
10.280994544046324,0.73647656817088181,0.26288301188245744
10.296834844040905,0.73647082324570312,0.26288501602369552
10.312699549758369,0.73646532679146071,0.26288498034209234
10.328588698801509,0.73648876961605647,0.26287441560856473
10.344502328831037,0.73646689624704231,0.26287318700223228
10.360440477565694,0.73647282262009772,0.26286912370508064
10.376403182782349,0.73648216597095806,0.26287136505932196
10.392390482316026,0.73649005830003555,0.26287576549071917
10.408402414060115,0.73646649889190019,0.26288389912952037
10.424439015966348,0.73643492522081744,0.26287704121095201
10.440500326044919,0.73647495107553118,0.26288162227487283
10.456586382364609,0.73646609930579499,0.26286336079777911
10.472697223052849,0.73647070119513147,0.2628711610267544
10.488832886295812,0.73646441666415519,0.26286307180710877
10.504993410338514,0.7364617257428383,0.26287448078966541
10.521178833484859,0.73648257783560744,0.26287691423311516
10.537389194097825,0.73645800910500714,0.26288776336190273
10.553624530599469,0.73645684097226916,0.26285323763958707
10.569884881471026,0.73646107773576142,0.26286702386636157
10.586170285253049,0.73647315118022083,0.26286063046105457
10.602480780545466,0.73647092803737169,0.26285491941534334
10.618816406007671,0.73644872000941908,0.26284998825112549
10.635177200358626,0.7364551214105991,0.26286055006969605
10.651563202376947,0.73646217909438527,0.26285586532233973
10.667974450901012,0.73645761791514242,0.26285967333357269
10.684410984829,0.73648458903822545,0.26285378301427453
10.700872843119061,0.73647468730164001,0.26285519054444173
10.717360064789354,0.73647719708779569,0.26286214074008496
10.733872688918154,0.73648822049034124,0.26285654536923753
10.750410754643962,0.73648391515815503,0.26284333360992534
10.766974301165531,0.73647012671826451,0.26284063176216937
10.783563367742078,0.73648972253120548,0.26285179560161631
10.800177993693271,0.73646557812759439,0.2628319262351293
10.816818218399346,0.73651475344334227,0.26284273526330243
10.83348408130124,0.73649409922088638,0.26283808494666749
10.850175621900647,0.73648396494454427,0.26282961331840249
10.866892879760123,0.73649697415476012,0.26284197404805232
10.88363589450319,0.73649373657913797,0.26284613296908649
10.900404705814381,0.73650533650672512,0.26283059353872462
10.917199353439443,0.73651467036238805,0.26282645901833823
10.934019877185285,0.73648997891664281,0.26282921124086195
10.950866316920196,0.73650263373055835,0.26282653656252136
10.967738712573874,0.73649512546580376,0.26282690990579544
10.984637104137542,0.73652202969893188,0.26284441368445632
11.001561531664054,0.73651733783086326,0.26282182823279326
11.018512035267918,0.73653097097148212,0.26282557259078315
11.035488655125526,0.73651998067432789,0.26282502128297036
11.052491431475136,0.73649985859444567,0.26282764000028669
11.069520404616979,0.7364925067564837,0.2628433356269686
11.086575614913409,0.73652204327347259,0.26284545044926239
11.103657102788958,0.73650035507572964,0.26282771876183192
11.120764908730445,0.73652162283553324,0.26282227560950644
11.137899073287075,0.73651953293789263,0.2628062567791562
11.155059637070485,0.73650803881490068,0.26282824372800745
11.172246640754965,0.73653478356369861,0.26282600980933751
11.189460125077391,0.73652710702033064,0.26283617343288002
11.206700130837451,0.73651741966512529,0.26281019255888033
11.223966698897684,0.73652907554000524,0.26283263642785282
11.241259870183587,0.73651243189051563,0.26280608480254269
11.258579685683719,0.73652286470600148,0.26281919533151699
11.275926186449764,0.73653333847711855,0.26281039106242599
11.293299413596676,0.73653830180073643,0.26281855692546419
11.310699408302792,0.73651648790047963,0.26280350441580574
11.32812621180982,0.7365162739953115,0.26281149928275754
11.345579865423062,0.73651828626638871,0.26280830370444075
11.36306041051145,0.73652373810620231,0.26282896643333281
11.380567888507649,0.7365588042326211,0.26280821405755522
11.398102340908176,0.73656921210901705,0.26281598775655374
11.415663809273434,0.7365460175838302,0.26281174813740371
11.433252335227937,0.73655401075734117,0.26280515446607
11.450867960460288,0.73653799631608607,0.26280681331104566
11.4685107267233,0.73654221848734425,0.26281838336468055
11.486180675834152,0.7365456994165489,0.26279586650851094
11.503877849674442,0.73651230987189253,0.2628079997868098
11.521602290190293,0.73650470805227297,0.26280052139498467
11.539354039392471,0.73655274521408465,0.26278829649432184
11.55713313935642,0.73653115400024083,0.26279295275063524
11.574939632222495,0.73653787459249254,0.26278964899501572
11.592773560195894,0.73655104399712235,0.2627861041580592
11.610634965546895,0.73651332848512052,0.26279137196907415
11.628523890610882,0.73651720944293442,0.26279331911187642
11.646440377788476,0.73655736080998591,0.26279149326549084
11.664384469545631,0.73655669188825257,0.26279290803604899
11.682356208413697,0.7365339470768002,0.2627816740319559
11.700355636989578,0.73656609479265234,0.26279960777168382
