#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-02-17 09:41::46.239

Frequency (Hz),Trace 1 (dBu)
0,-49.206875997866206
4.88525390625,-62.963524735746603
9.7705078125,-62.705768586441508
14.65576171875,-62.515109774988019
19.541015625,-62.434158168023906
24.42626953125,-62.046912912248303
29.3115234375,-61.52923639463215
34.19677734375,-60.914758908129663
39.08203125,-60.209906425254516
43.96728515625,-59.39241513987249
48.8525390625,-58.401972486679732
53.73779296875,-57.172388890370136
58.623046875,-55.749254110337539
63.50830078125,-53.796849125154054
68.3935546875,-51.241607550622525
73.27880859375,-47.204826463867199
78.1640625,-38.850197967603556
83.04931640625,-35.650766447424203
87.9345703125,-46.652704984292974
92.81982421875,-51.539707694665609
97.705078125,-54.770468856104628
102.59033203125,-57.275920488289096
107.4755859375,-59.249959511976641
112.36083984375,-60.9433494573506
117.24609375,-62.285944867930141
122.13134765625,-63.506202595877326
127.0166015625,-64.167482702756303
131.90185546875,-64.534318089904431
136.787109375,-63.968749592053918
141.67236328125,-63.239965425401572
146.5576171875,-60.539811859911616
151.44287109375,-57.531309540691169
156.328125,-51.698338132568502
161.21337890625,-35.065235233640855
166.0986328125,-50.513752289850864
170.98388671875,-55.836180675029155
175.869140625,-59.432136160230286
180.75439453125,-61.932970685711012
185.6396484375,-63.998916536907842
190.52490234375,-65.832704394886434
195.41015625,-66.933650347140684
200.29541015625,-69.872644094132625
205.1806640625,-71.615392889300182
210.06591796875,-77.386723593698264
214.951171875,-83.819048184620911
219.83642578125,-73.721650249977699
224.7216796875,-83.653738465411678
229.60693359375,-71.651108158745913
234.4921875,-64.915557216847091
239.37744140625,-57.891887381761158
244.2626953125,-32.99117021597845
249.14794921875,-49.137927621366124
254.033203125,-55.662896699683074
258.91845703125,-58.546299119900588
263.8037109375,-60.52807601510829
268.68896484375,-61.493032491703431
273.57421875,-63.098062315130939
278.45947265625,-63.487048331570421
283.3447265625,-64.128456441953574
288.22998046875,-64.860166321057719
293.115234375,-65.365338052247978
298.00048828125,-65.681396510779038
302.8857421875,-65.637502518187006
307.77099609375,-64.786056943913749
312.65625,-64.291987325411142
317.54150390625,-62.523667630977961
322.4267578125,-56.556299097849532
327.31201171875,-46.800573873083152
332.197265625,-62.811928487382225
337.08251953125,-69.826817111210062
341.9677734375,-73.380864855409214
346.85302734375,-74.921534969445062
351.73828125,-75.938574003272706
356.62353515625,-75.83209852079986
361.5087890625,-76.376579940336001
366.39404296875,-78.378138729883929
371.279296875,-78.827990911751399
376.16455078125,-81.494831086080964
381.0498046875,-81.65198859646587
385.93505859375,-80.331548912077977
390.8203125,-78.198665479104235
395.70556640625,-72.845121031765188
400.5908203125,-66.520931341304973
405.47607421875,-53.947135989544144
410.361328125,-52.572921294936691
415.24658203125,-61.346914761642573
420.1318359375,-64.909337209445638
425.01708984375,-66.530703862230766
429.90234375,-67.97985224313561
434.78759765625,-68.99641751143983
439.6728515625,-70.036242173187503
444.55810546875,-70.805655340109624
449.443359375,-70.945612624960688
454.32861328125,-71.43394952379397
459.2138671875,-73.120097595332368
464.09912109375,-73.510559948715596
468.984375,-74.807463897240353
473.86962890625,-75.943356631483908
478.7548828125,-74.489181658624886
483.64013671875,-72.091477682634732
488.525390625,-58.321850017572892
493.41064453125,-59.000983386436701
498.2958984375,-65.845760319015028
503.18115234375,-68.073215938820169
508.06640625,-69.634920512044673
512.95166015625,-70.086282515093586
517.8369140625,-71.010285040267277
522.72216796875,-71.662874076878722
527.607421875,-72.236671474148849
532.49267578125,-72.477635817120813
537.3779296875,-72.265684129053767
542.26318359375,-73.152494553348419
547.1484375,-72.761212473152128
