#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18F9B
#Date Time: 2017-05-23 10:50::46.873

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
20.000000000000021,0.15868718561840786,-5.6669391440450489,-158.48103613230774
20.013821666009239,0.15672014693162681,-5.604714721780546,-158.1418995034916
20.02765288394102,0.15963040315434721,-5.6084867889720496,-157.841907050738
20.04149366039654,0.15871043333669299,-5.5855553480448776,-158.28200299754781
20.055344001981531,0.15810314760043881,-5.8627123846194964,-157.74339226465611
20.0692039153063,0.16072996178812238,-5.4746006144296313,-158.20895490951858
20.083073406985712,0.16307852500072326,-5.7206557211873674,-159.07408796771665
20.09695248363921,0.15779404678254114,-5.7065570465577373,-158.25934197976505
20.11084115189081,0.15998295909015908,-5.9432717420163019,-159.5711371921729
20.124739418369124,0.15776343025238312,-5.6919620040651084,-157.71176263614632
20.138647289707265,0.15862860741756019,-5.4482976428618759,-158.42362594597913
20.152564772543055,0.15934776106572093,-5.4262584121466908,-158.4428570589136
20.166491873518837,0.16144751257806386,-5.9068898827159728,-157.69662161879853
20.180428599281505,0.15711707120643303,-5.8412558335484279,-158.61177075836471
20.194374956482591,0.15750695494140568,-5.7675343754094772,-158.80954281354937
20.208330951778283,0.1623490200340722,-5.8474317752358971,-159.07306843826746
20.222296591829245,0.15684706794722017,-5.787573767039377,-158.42272249606884
20.236271883300827,0.16234947426178808,-5.8078744938803073,-159.35864116977544
20.250256832862963,0.15808816035253279,-5.7969820550447011,-159.64232164494769
20.264251447190198,0.1590534720949684,-5.6000093135889291,-158.89916213683432
20.278255732961693,0.15903972143080819,-5.4209182921563492,-158.60305412349359
20.292269696861215,0.15767179895829636,-5.7622184907576992,-158.64851150096735
20.306293345577167,0.15879154076925447,-5.6807949498799246,-159.18310732765514
20.320326685802556,0.15951257552332063,-5.8427091952577257,-158.48457422962323
20.334369724235025,0.16072045293117965,-5.5589183896917573,-158.87660317505464
20.34842246757686,0.16073839883930016,-5.6889628495804088,-158.84367631089393
20.362484922534907,0.16014016708793791,-5.5583261620350104,-158.63488415645131
20.376557095820758,0.15758370513578385,-5.5020727717610622,-158.82533350060325
20.390638994150589,0.15900380378005577,-5.6854625280814739,-159.03596858762197
20.404730624245172,0.1575400470266618,-5.6658440746359844,-159.44351373686345
20.418831992829968,0.15970977150549748,-5.5544196864783526,-158.60185901458772
20.43294310663515,0.15580475774055305,-5.4493837598635144,-158.50776323197488
20.447063972395416,0.15373165206256914,-5.6051587851935007,-159.04487797953246
20.461194596850191,0.16114444892974233,-5.7890043002543292,-159.39782549324642
